index,start,end
90,2.544299e-11,1.8910835e-11
91,2.8473283e-11,2.1111776e-11
92,2.4907229e-11,1.8468433e-11
93,1.9117444e-11,1.4001167e-11
94,1.6943643e-11,1.2192973e-11
95,1.5472568e-11,1.0883861e-11
96,1.5211492e-11,1.0788086e-11
97,1.22555065e-11,8.659828e-12
98,1.3567161e-11,9.635617e-12
99,1.2172711e-11,8.7662195e-12
100,1.2172711e-11,8.7662195e-12
101,1.2230474e-11,8.9174735e-12
102,1.1795721e-11,8.597929e-12
103,1.0011337e-11,7.330866e-12
104,1.0870832e-11,7.869913e-12
105,1.0878133e-11,7.883945e-12
106,1.2423597e-11,8.96916e-12
107,1.2664668e-11,9.090824e-12
108,1.2061913e-11,8.7301616e-12
109,1.2814151e-11,9.30811e-12
110,1.2169461e-11,9.03156e-12
111,1.1392208e-11,8.471559e-12
112,1.12624484e-11,8.513106e-12
113,9.061601e-12,6.9684215e-12
114,8.556505e-12,6.5888163e-12
115,8.299548e-12,6.333551e-12
116,8.618814e-12,6.6114254e-12
117,8.618814e-12,6.6114254e-12
118,1.0766749e-11,8.135575e-12
119,1.3553583e-11,1.0204297e-11
120,1.5326676e-11,1.1652649e-11
121,1.5226471e-11,1.1685077e-11
122,1.627901e-11,1.2454962e-11
123,1.683168e-11,1.2857877e-11
124,1.9735361e-11,1.5015876e-11
125,2.26223e-11,1.7178883e-11
126,2.5317998e-11,1.9247291e-11
127,3.0689635e-11,2.3260725e-11
128,2.5316065e-11,1.9197173e-11
129,1.9542675e-11,1.4779974e-11
130,1.650792e-11,1.2471317e-11
131,1.374818e-11,1.048921e-11
132,1.2532911e-11,9.586397e-12
133,1.3485995e-11,1.0594813e-11
134,1.3485018e-11,1.0724486e-11
135,1.3316834e-11,1.0729888e-11
136,1.0973158e-11,8.8088425e-12
137,8.841532e-12,7.061922e-12
138,8.666189e-12,6.8473656e-12
139,1.0783642e-11,8.414311e-12
140,1.133073e-11,8.833711e-12
141,1.0391972e-11,8.110135e-12
