index,start,end
309,0.043594465,0.043852087
310,0.04332734,0.043680374
311,0.043177567,0.04361717
312,0.043087684,0.04360575
313,0.043110497,0.04371645
314,0.043230824,0.0439219
315,0.043466724,0.044242773
316,0.043794796,0.04464737
317,0.044140205,0.045039114
318,0.044457458,0.045372967
319,0.0447471,0.0456593
320,0.044995546,0.045901816
321,0.045176797,0.046072643
322,0.045311622,0.04620259
323,0.045478813,0.04640643
324,0.04570327,0.0466937
325,0.04604117,0.047121294
326,0.04650054,0.047670573
327,0.04706481,0.048319533
328,0.047719076,0.049038313
329,0.0484669,0.04981821
330,0.04921025,0.050552152
331,0.049880154,0.05115936
332,0.050403066,0.051578023
333,0.050716758,0.051757157
334,0.050796896,0.05171319
335,0.050694905,0.051503696
336,0.050417595,0.051142372
337,0.050024748,0.05069904
338,0.04958386,0.050237276
339,0.049153082,0.049809597
340,0.048763357,0.04945273
341,0.04844994,0.0491841
342,0.048183195,0.04896541
343,0.04790528,0.048740998
344,0.047642887,0.048529394
345,0.047358796,0.04829333
346,0.047094353,0.0480828
347,0.046874106,0.047919303
348,0.046689883,0.047804937
349,0.04663463,0.047811896
350,0.046692327,0.047918186
351,0.046860464,0.04812614
352,0.04713481,0.04841706
353,0.047421016,0.04870166
354,0.04777132,0.049062
355,0.048160195,0.04945956
356,0.048573866,0.04988145
357,0.048994504,0.050302967
358,0.049346037,0.050631598
359,0.049613275,0.05086036
360,0.049792722,0.05100611
361,0.04990606,0.05107756
362,0.049928024,0.051048674
363,0.049881466,0.05095394
364,0.04976707,0.05078198
365,0.04960449,0.050565667
366,0.049400404,0.05031053
367,0.049157903,0.050015092
368,0.048855603,0.049656965
369,0.048510686,0.04926966
370,0.048151202,0.04889655
371,0.04781136,0.048560597
372,0.04746926,0.04823616
373,0.047153734,0.047939487
374,0.046894565,0.047708653
375,0.04669004,0.047538087
376,0.04652278,0.04740116
377,0.046392113,0.047302842
378,0.046295658,0.047248304
379,0.046222,0.047219746
380,0.046226718,0.04727026
381,0.04631356,0.047398396
382,0.04645198,0.047573216
383,0.046666153,0.0478234
384,0.046894558,0.04807435
385,0.047122285,0.048316397
386,0.04733064,0.048508264
387,0.04746884,0.048589937
388,0.047524378,0.0485987
389,0.047507614,0.04852482
390,0.047430225,0.048388556
391,0.04727509,0.048173465
392,0.047048733,0.047878817
393,0.046737947,0.04749328
394,0.046388455,0.047086887
395,0.046026953,0.04670504
396,0.045723133,0.046414074
397,0.045496374,0.04622936
398,0.04535635,0.046132933
399,0.045265444,0.046095844
400,0.04521753,0.04608972
401,0.04517804,0.04609022
402,0.045149453,0.04607689
403,0.045077167,0.04601069
404,0.04497038,0.04588757
405,0.044851325,0.04575864
406,0.04473442,0.04565015
407,0.044648618,0.045575652
408,0.044572495,0.045536216
409,0.044547386,0.04555006
410,0.04455535,0.045596156
411,0.044638976,0.04572613
412,0.044752605,0.04586686
413,0.044858605,0.04599173
414,0.044989474,0.04612864
415,0.045149177,0.046302576
416,0.04538408,0.046568286
417,0.045691527,0.046897374
418,0.04602883,0.04724875
419,0.046317972,0.04752171
420,0.04656329,0.047729447
421,0.046725377,0.04781884
422,0.046774052,0.04777264
423,0.046722114,0.047610626
424,0.046531282,0.0473255
425,0.04623463,0.046942003
426,0.0458968,0.04654417
427,0.045507118,0.04611053
428,0.04507927,0.045651767
429,0.044634096,0.04519697
430,0.044206813,0.044785928
431,0.04381708,0.04442892
432,0.043464094,0.04411355
433,0.04312945,0.043816436
434,0.042864203,0.043584194
435,0.0426101,0.043365132
436,0.042387217,0.043181013
437,0.04224032,0.04307658
438,0.04216279,0.0430496
439,0.042137012,0.04305951
440,0.042133488,0.04308683
441,0.042160027,0.043122638
442,0.042209685,0.04315905
443,0.042237334,0.04315972
444,0.042267136,0.043160845
